,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
Lat,0.006384451219603084,-0.02696275558196619,0.6917670606245819,0.03003841654230642,-0.10287169517018732,0.053022674309484624,-0.04244087819156901,-0.046337022648697726,-0.008860321118726916,0.03844390748323596,-0.055639238031513695,0.039689194191179694,-0.04870266734983286,-0.011469272718012933,0.0993032669546955,-0.023319085352167458,0.013037797536276272,-0.07105547660986773,-0.02269859534313282,-0.04401538864303013,0.022248996028427826,-0.0024544419367373447,-0.6892526928313838,0.007553635729729634,0.0016614198773026241,0.0029239767496319945
Lng,0.001958502934512512,0.023045240515839522,-0.2540286851914922,-0.42695172550228594,0.026765460953185136,-0.21064460650990247,0.011144142154531762,-0.27358282360314307,-0.01148261383668777,-0.24353821163287223,-0.21553831015862443,-0.34461476261114815,0.18142950837846616,-0.26655696681138563,-0.23236167069136998,-0.12100441197097375,-0.045248606570546704,0.14075603501733172,-0.09291735403586321,0.08864534038085951,0.01770116139387221,-0.2760477710924519,-0.34698396970345535,0.002189899236710881,0.005559225378125708,-0.004972491323961654
Population,-0.0020423160119385766,-0.008447356241936495,-0.6165482055352369,0.11455105626382911,0.08734871346328149,0.11521215169838021,0.009066026144566683,0.17977909908671358,0.02011820094391411,0.10031129844306612,0.19707659601311955,0.14684079061134153,-0.0979111806293808,0.2162261528017191,0.04650158876343287,0.12740585992633688,-0.05327708176881624,-0.10942869019395753,0.060150593648095996,0.013962383242053308,-0.0346059844441224,0.05263241680578739,-0.6204732828548141,0.012150497820311258,0.005650522716618242,0.0006712373447302982
Children,0.00687190804636775,0.0004789872210148267,0.03867804231379482,-0.3157250107930019,0.027179189309086027,-0.2992070256912786,0.3664996552066795,0.12854317253680006,0.20155245960704143,-0.26336241965818713,0.2012662831131637,0.20255012986420382,-0.183679810231821,-0.09201353978964814,0.23233249465285669,0.02037584054970987,0.0705580072482639,0.007375306056055031,-0.3326056751035263,0.3205620674653834,0.07330781982575077,0.38069602119450763,-0.015750475068760792,-0.010839895943576237,0.021458588764857105,-0.0005190575295280035
Age,0.012867182993941191,0.003939211790791018,-0.0293461263617734,0.24720168360266756,-0.11083332747923684,-0.36140705748947816,-0.25829160186241923,-0.385754891572107,-0.21378628253502552,0.048301970233684405,0.20720185609834893,0.08114255389971813,-0.18639470812916337,-0.05231510903042655,-0.220885854627954,0.014019961301767183,-0.3727626734671393,0.18833128475253466,0.010024984478142334,0.030753712721158802,0.3423654529400027,0.31825667898444443,-0.03180351050266873,0.008397449580662955,-0.018882718158124364,-0.0005382246605915161
Income,-0.001735034598110188,-0.00131291480073395,0.05938477513067225,-0.1130123199378026,0.3939323542651242,-0.22301223916679946,-0.1826416642219023,0.12604844113192004,0.15093974943000665,0.23513591496802266,0.2697209506404845,0.2555296368318153,0.14967481611630615,-0.3693616618055745,-0.056723768811756496,-0.13422328266231826,-0.07257153414594512,-0.4447998533355832,0.08296720216902637,-0.03327174091494933,0.2273117302514271,-0.261743429364379,0.0293425805655269,-0.034650822623179124,-0.0025217694698776738,-0.0008088053511720837
Outage_sec_perweek,0.021297542020226004,0.052542402519855376,-0.00022487495170929106,-0.017100611223714327,-0.18297759340465475,0.2772314238927195,-0.23118484010887552,-0.1232208914251216,0.39409997714019,-0.22058712356197122,-0.0006048278611744651,0.4065879348478583,-0.04689967429439695,-0.04216412207487663,-0.21377996423758414,0.011493809673881656,0.22832470538388408,0.2047933236671954,0.3209270779611379,0.39914061008152807,0.15544267596200734,-0.13185072130558811,6.634620734628134e-05,0.01709213616535156,0.012331032055940966,-0.007433644475244958
Email,0.016995713516386513,-0.019619148721698506,-0.15773792899012548,0.20109215586565032,-0.08944076816906758,-0.1485810911476349,0.167142567144693,-0.423258208295533,0.22598927339742947,-0.04373888550186592,-0.31214765111053333,0.06837345705349634,0.06002370127613663,0.08615516292699961,0.22907672223435507,0.051161006290208415,0.36262140609651505,-0.3157505843636117,-0.03940345766058784,-0.2995181711410413,0.3904278032541492,0.022110482621704078,-0.0068465404289507524,-0.001285107640136362,-0.014284112085591034,-0.0007204104853211274
Contacts,0.0009041953745039655,4.969175503153457e-05,-0.10144850121964114,-0.01936294369485808,-0.13386119971886642,0.09765442621789744,-0.3528182847319228,-0.15658453555501323,0.16499740358788714,0.42487218128112403,0.02540597484709306,-0.16959275474324487,-0.33689185308856895,-0.33834474018543365,-0.008854037287670416,0.05334574168409736,0.3317521065897715,-0.05677836162194581,-0.3774770685288267,0.06626191858818628,-0.2643790462634352,0.11882766588040297,0.004311711740960732,-0.024817019767860656,0.004366327333869169,9.813156430639385e-05
Yearly_equip_failure,-0.007970963482024532,0.003842464740075732,0.012920695363315174,0.11501740479115174,-0.230938614565163,0.05400313248177762,0.1982264354957372,0.13294844288322996,0.2975652002366901,-0.0466508835257731,0.5558668929837068,-0.3052732234385577,0.12104158315903765,-0.23926455855610487,-0.047384489266601756,0.01046838020912511,0.1389413763252136,0.29446747569440174,0.09149527640456268,-0.4027057598126243,0.16440337026181964,-0.02074527795476429,-0.04491454747187216,0.010319901044273685,0.003237790536676088,0.0009714798434604898
Tenure,-0.40561074458326607,0.504732153909432,0.01608127021011471,0.0317995389260693,0.03827660436834192,-0.007213191469747657,-0.016360427849100384,-0.03743145340704131,0.007522301298844867,0.011898154456150292,0.008022101082973616,-0.011959101663938035,0.02661832139931624,0.02207259205224694,0.0338304497717133,0.0156710243415337,-0.010909478098584759,-0.006702310999807803,-0.02702506155042042,-0.00773625643127287,0.0033215480854407804,0.003452481814651485,-0.0015587067313229703,0.20152114227732126,0.7288304867451384,-0.022229271389962186
MonthlyCharge,0.4643074633751107,0.47121900440697945,0.0022762017744699377,0.021950942537398797,-0.014782116680107016,-0.019920695268006213,0.015813207927009357,0.01855633094007279,-0.037203004404858984,-0.009162595506808245,0.0028234009218272896,-0.007790656162837083,-0.006709967866982073,-0.004798122286509262,-0.004913138971572079,-8.429580241021533e-05,0.02088894324715155,-0.021892443857360788,0.01396723925789585,-0.010133554188114137,-0.0176558859893114,-6.927919865082361e-05,-0.010797486637473269,-0.2559561487409959,0.026668280930135155,0.7008417240577475
Bandwidth_GB_Year,-0.35987688374686255,0.5323839310482099,0.018051289294579158,0.006811475025439804,0.04105313079557134,0.00552145543655993,0.002737142947297927,-0.015296620764246005,0.024043406343843002,0.008006174717594345,0.016147681028187942,-0.0031026863137652034,0.006808175753994925,0.019065391653499145,0.028319616669737934,0.02654461049946444,-0.006075476755147976,0.000717532498619582,-0.0540374172759673,0.009390398679913993,0.0004861207473143104,-0.017640865806951185,-0.006093119813120555,0.351073758154336,-0.6736277776391706,0.038418945716646696
Techie,0.03254180165001733,-0.0035296616700288093,0.07695912030073856,-0.15973004494360085,0.5275044482924267,0.16159394009544842,-0.24306877566957602,0.006269210781606586,-0.02795284390786723,0.06398177084467598,0.043433301393657364,-0.025219220330450154,0.20992194552119658,0.31914414507458133,-0.10891222226286952,0.05813080107929063,0.291434780095466,0.3445131939386698,-0.2944408610511965,-0.09825446003701808,0.3131820071370077,0.17302386458739316,-0.025346669865304015,-0.08205384511668222,-0.004838194832292548,-0.006803530442640775
Churn,0.5174723399529492,-0.08442969424659101,0.005466166998951917,0.0003533178301057092,0.05802196251638949,0.0246326437341918,-0.005265215861839853,-0.021634035618393253,0.04795243798455165,0.04583508450702482,0.019904538267266465,-0.029542124304814895,0.006392914822103913,0.025952662400057374,0.04239773860516875,-0.029692190600991583,-0.04159820036860109,0.01678613174999284,-0.06271267439411163,0.024448388936974853,0.021389876311156512,-0.03883865872538381,0.021752353833135663,0.8310546889360958,0.10651925788635976,0.02349336856193265
Port_modem,0.002100677199411307,0.011388516749959764,-0.06806054206122644,0.12310803343925342,-0.2395980224283221,0.21947803794228535,0.20400529494918976,-0.05914633442283132,0.023915796861452968,0.16589626662479562,-0.04571431697430012,0.4008577309680454,0.4488943808544615,-0.08046191904775872,-0.20932964516805458,-0.34488445045376404,-0.17882361002361682,0.052688686642315706,-0.4674992218105702,-0.05297150802370478,-0.08158273755464394,0.060677866726087944,-0.025631823911370966,-0.025666764879984833,3.118812900335354e-05,-0.0005117005596427498
Tablet,0.0073697026411245975,0.011461339340079344,0.025565924382181773,-0.27130721516385503,0.22465899533033748,0.4231252758603609,0.22222948174777463,-0.3999816080464595,-0.0587668807935989,-0.04690829815141456,0.12748377805555985,-0.011494816111114992,-0.03000891309184568,-0.13907672287901118,-0.18861465868236027,-0.023660784526313622,-0.04778605449455743,-0.2539031460769083,0.3013562320491098,-0.15019546212010332,-0.15533967601401266,0.45050618267888604,0.009586014768609801,0.030319217388191058,-0.004510120954681645,0.0040677517269292526
Phone,-0.01305868274246285,-0.02549912993823771,0.005798327497608815,0.21908833634107877,0.1654341860615887,0.22768037487513582,0.12989093942549354,-0.06690212894726956,-0.36942951567458215,-0.4079428627453554,0.15200900775603832,0.16549893387926617,-0.39527298757648843,-0.18135138316810864,-0.1420472879472176,0.05990826331351418,0.12801202491034608,-0.05211016467136933,-0.32435325844837803,-0.1203214637117534,0.058402386319953835,-0.37560943400553776,0.02287964909667756,0.015027079741710357,0.016157492812321574,0.003926612533127026
Multiple,0.19518633212210368,0.1782743460683805,-0.0024381378468576495,0.29026833380299166,-0.04646692697909188,-0.02644537038578889,-0.18713225298389036,0.2879953210737393,-0.13160315363412547,-0.3264095872298147,-0.09674752784567715,-0.15416816624961777,0.32335955734277316,-0.23286580934347273,-0.21280279027149362,0.18913873340818024,0.17748448628622918,-0.28105594522067706,-0.030447647413887117,0.13077163005390513,-0.0031979523302861604,0.3336974696997104,-0.0492395062709012,-0.01277395681435289,-0.015126472399887314,-0.2924063702795298
OnlineSecurity,0.014737478929077117,0.05201692380956377,-0.041892877114023064,-0.24743308974083336,-0.14940595332038667,0.20408295666167528,0.1900395664186531,0.2924444051187216,-0.17899023629411084,0.30142564987558923,-0.3509668751526705,0.09512537308346149,-0.13647162383966654,-0.31860553744242404,-0.05953176360044167,0.35417587072408796,-0.10786819904602267,0.12242796715636385,0.05299115150777626,-0.0808668135070798,0.4520622772678807,0.04589683747536671,0.002650571388880455,0.029709527252637435,0.014500792275455684,-0.02663873841087943
OnlineBackup,0.09509312403364995,0.1630966152607478,-0.06031258578379551,-0.24064966025245998,-0.23331229647835597,-0.06808874980695838,-0.08505038759903524,0.21863856813435115,-0.23697223805749135,0.011918868154266134,0.009793763228063851,0.028385409071641342,-0.2673127950303277,0.1756943847265253,-0.12052850304957816,-0.6471204482521853,0.2767062462536159,-0.08541064837968775,0.12180026638947675,-0.1712000136632847,0.14642945929439158,0.08371925548902819,-0.006690272739288927,0.01105009870033042,-0.004856938448965754,-0.19808232033805676
DeviceProtection,0.0953149505800582,0.07574560744933084,0.03644446169326591,-0.3336869126324505,-0.17893599497579435,-0.2289867262784495,-0.20675080961557984,0.013092044910656467,0.11866759845010309,-0.14726594496876033,0.016461451343577883,0.33318216833358244,-0.018382720529277877,0.1715760385686798,-0.2177494011394303,0.3957192115566551,-0.05923741690436855,-0.03431519056182798,-0.08325527367408093,-0.5023756645581191,-0.2922503703030356,-0.041881400503298756,0.030341212327389958,0.01261450399382764,0.0061880403708481704,-0.10961367086049498
TechSupport,0.054516123926384476,0.04387006410041237,0.04173606951932535,0.08486376788052549,0.07376286729510774,-0.33908159382131253,0.3560059627008907,-0.1282833831792568,-0.3104887835578259,0.3274100763177629,0.08900830057748713,0.19683709208934796,0.13008646247164263,-0.03871398651346213,-0.18623588962221357,0.14669788523841382,0.46317572005562113,0.20370467567544215,0.2209476834807694,0.13929998699361723,-0.2318484594944532,-0.0786762695142094,-0.055631901664217984,0.03187252128626809,-0.0004439275846723507,-0.09668432719859979
StreamingTV,0.2439001737871057,0.2530171393094769,0.09789147296680482,0.14089188884825832,0.16279966036555826,-0.007045397424734059,0.3059729462152655,-0.022042015209221104,0.377988919795639,0.16588200460312919,-0.07558783638065272,-0.1934696278918388,-0.2703391221898985,0.22540881769819057,-0.3650971801359572,0.009213628524816567,-0.20623778745344526,-0.06527033561613746,-0.09521158470022487,0.0934668899559421,0.033832748274790124,-0.1314468780936049,0.014379179213724046,-0.17318062648856028,-0.009178187836231689,-0.3772166413213365
StreamingMovies,0.3183509793849077,0.30721036360002985,-0.05736291892555572,-0.07779588765223931,0.014091569391586558,0.13768538044766196,-0.09587157887194406,-0.21882712776728447,-0.1355912155294313,0.0041387068753681,0.12351675155638496,0.10250465725076868,0.09429594538898861,-0.13655207338482847,0.5748528878150136,0.004231244465425399,-0.11529451244211292,0.18396697059778308,0.031842896980864725,-0.015304444682568225,-0.03308010479882865,-0.11437283666501986,0.009261297009552744,-0.18992865909285653,-0.02811362782946693,-0.46584573120126954
PaperlessBilling,0.0008592942651768682,-0.007759013002231264,0.04866908716146092,-0.2532430220686955,-0.36988211084720735,0.13651664480461148,0.016284195360106165,-0.14569902404961108,-0.2127373001873982,0.11098602136902602,0.37747415844266063,-0.17890975994496788,0.18126916638816876,0.32311492265821623,-0.05556797215772635,0.2403093546294007,0.03578752036017405,-0.35596798112095035,-0.1441056179474659,0.29250547246090525,0.22346974589671253,-0.1887045426638113,0.07754982928987814,-0.020312730761175186,0.004356360515439509,-0.003637178587246249
